employee_id,employee_name,email,phone,hire_date,job_title,warehouse_id,tenure_years
1,Summer Payne,summer.payne@example.com,5151238181,2016-06-07 00:00:00,Public Accountant,1,2.6
2,Rose Stephens,rose.stephens@example.com,5151238080,2016-06-07 00:00:00,Accounting Manager,1,2.6
3,Annabelle Dunn,annabelle.dunn@example.com,5151234444,2016-09-17 00:00:00,Administration Assistant,1,2.3
4,Tommy Bailey,tommy.bailey@example.com,5151234567,2016-06-17 00:00:00,President,1,2.5
5,Blake Cooper,blake.cooper@example.com,5151234569,2016-01-13 00:00:00,Administration Vice President,1,3.0
6,Jude Rivera,jude.rivera@example.com,5151234568,2016-09-21 00:00:00,Administration Vice President,1,2.3
7,Tyler Ramirez,tyler.ramirez@example.com,5151244269,2016-09-28 00:00:00,Accountant,1,2.3
8,Ryan Gray,ryan.gray@example.com,5151244169,2016-08-16 00:00:00,Accountant,1,2.4
9,Elliot Brooks,elliot.brooks@example.com,5151244567,2016-12-07 00:00:00,Accountant,1,2.1
10,Elliott James,elliott.james@example.com,5151244369,2016-09-30 00:00:00,Accountant,1,2.3
11,Albert Watson,albert.watson@example.com,5151244469,2016-03-07 00:00:00,Accountant,1,2.8
12,Mohammad Peterson,mohammad.peterson@example.com,5151244569,2016-08-17 00:00:00,Finance Manager,1,2.4
13,Harper Spencer,harper.spencer@example.com,5151237777,2016-06-07 00:00:00,Human Resources Representative,1,2.6
14,Louie Richardson,louie.richardson@example.com,5904234567,2016-01-03 00:00:00,Programmer,1,3.0
15,Nathan Cox,nathan.cox@example.com,5904234568,2016-05-21 00:00:00,Programmer,1,2.6
16,Bobby Torres,bobby.torres@example.com,5904235567,2016-02-07 00:00:00,Programmer,1,2.9
17,Charles Ward,charles.ward@example.com,5904234560,2016-02-05 00:00:00,Programmer,1,2.9
18,Gabriel Howard,gabriel.howard@example.com,59042345692,2016-06-25 00:00:00,Programmer,1,2.5
19,Emma Perkins,emma.perkins@example.com,5151235555,2016-02-17 00:00:00,Marketing Manager,1,2.9
20,Amelie Hudson,amelie.hudson@example.com,6031236666,2016-08-17 00:00:00,Marketing Representative,1,2.4
21,Gracie Gardner,gracie.gardner@example.com,5151238888,2016-06-07 00:00:00,Public Relations Representative,1,2.6
22,Frederick Price,frederick.price@example.com,5151274563,2016-12-24 00:00:00,Purchasing Clerk,1,2.0
23,Alex Sanders,alex.sanders@example.com,5151274562,2016-05-18 00:00:00,Purchasing Clerk,1,2.6
24,Ollie Bennett,ollie.bennett@example.com,5151274564,2016-07-24 00:00:00,Purchasing Clerk,1,2.4
25,Louis Wood,louis.wood@example.com,5151274565,2016-11-15 00:00:00,Purchasing Clerk,1,2.1
26,Dexter Barnes,dexter.barnes@example.com,5151274566,2016-08-10 00:00:00,Purchasing Clerk,1,2.4
27,Rory Kelly,rory.kelly@example.com,5151274561,2016-12-07 00:00:00,Purchasing Manager,1,2.1
28,Isabella Cole,isabella.cole@example.com,11441344619268,2016-10-15 00:00:00,Sales Manager,1,2.2
29,Jessica Woods,jessica.woods@example.com,11441344429278,2016-03-10 00:00:00,Sales Manager,1,2.8
30,Ella Wallace,ella.wallace@example.com,11441344467268,2016-01-05 00:00:00,Sales Manager,1,3.0
31,Ava Sullivan,ava.sullivan@example.com,11441344429268,2016-10-01 00:00:00,Sales Manager,1,2.2
32,Mia West,mia.west@example.com,11441344429018,2016-01-29 00:00:00,Sales Manager,1,2.9
33,Evie Harrison,evie.harrison@example.com,11441344486508,2016-11-23 00:00:00,Sales Representative,1,2.1
34,Scarlett Gibson,scarlett.gibson@example.com,11441345429268,2016-01-30 00:00:00,Sales Representative,1,2.9
35,Ruby Mcdonald,ruby.mcdonald@example.com,11441345929268,2016-03-04 00:00:00,Sales Representative,1,2.8
36,Chloe Cruz,chloe.cruz@example.com,11441345829268,2016-08-01 00:00:00,Sales Representative,1,2.4
37,Isabelle Marshall,isabelle.marshall@example.com,11441345729268,2016-03-10 00:00:00,Sales Representative,1,2.8
38,Daisy Ortiz,daisy.ortiz@example.com,11441345629268,2016-12-15 00:00:00,Sales Representative,1,2.0
39,Freya Gomez,freya.gomez@example.com,11441345529268,2016-11-03 00:00:00,Sales Representative,1,2.2
40,Elizabeth Dixon,elizabeth.dixon@example.com,11441644429262,2016-01-04 00:00:00,Sales Representative,1,3.0
41,Florence Freeman,florence.freeman@example.com,11441346229268,2016-03-19 00:00:00,Sales Representative,1,2.8
42,Alice Wells,alice.wells@example.com,11441346329268,2016-01-24 00:00:00,Sales Representative,1,2.9
43,Charlotte Webb,charlotte.webb@example.com,11441346529268,2016-02-23 00:00:00,Sales Representative,1,2.9
44,Sienna Simpson,sienna.simpson@example.com,11441346629268,2016-03-24 00:00:00,Sales Representative,1,2.8
45,Matilda Stevens,matilda.stevens@example.com,11441346729268,2016-04-21 00:00:00,Sales Representative,2,2.7
46,Evelyn Tucker,evelyn.tucker@example.com,11441343929268,2016-03-11 00:00:00,Sales Representative,2,2.8
47,Eva Porter,eva.porter@example.com,11441343829268,2016-03-23 00:00:00,Sales Representative,2,2.8
48,Millie Hunter,millie.hunter@example.com,11441343729268,2016-01-24 00:00:00,Sales Representative,2,2.9
49,Sofia Hicks,sofia.hicks@example.com,11441343629268,2016-02-23 00:00:00,Sales Representative,2,2.9
50,Lucy Crawford,lucy.crawford@example.com,11441343529268,2016-03-24 00:00:00,Sales Representative,2,2.8
51,Elsie Henry,elsie.henry@example.com,11441343329268,2016-04-21 00:00:00,Sales Representative,2,2.7
52,Imogen Boyd,imogen.boyd@example.com,11441644429267,2016-05-11 00:00:00,Sales Representative,2,2.6
53,Layla Mason,layla.mason@example.com,11441644429266,2016-03-19 00:00:00,Sales Representative,2,2.8
54,Rosie Morales,rosie.morales@example.com,11441644429265,2016-03-24 00:00:00,Sales Representative,2,2.8
55,Maya Kennedy,maya.kennedy@example.com,11441644429264,2016-04-23 00:00:00,Sales Representative,2,2.7
56,Esme Warren,esme.warren@example.com,11441644429263,2016-05-24 00:00:00,Sales Representative,2,2.6
57,Grace Ellis,grace.ellis@example.com,11441344987668,2016-12-09 00:00:00,Sales Representative,2,2.1
58,Lily Fisher,lily.fisher@example.com,11441344498718,2016-03-30 00:00:00,Sales Representative,2,2.8
59,Sophia Reynolds,sophia.reynolds@example.com,11441344478968,2016-08-20 00:00:00,Sales Representative,2,2.4
60,Sophie Owens,sophie.owens@example.com,11441344345268,2016-03-24 00:00:00,Sales Representative,2,2.8
61,Poppy Jordan,poppy.jordan@example.com,11441344129268,2016-01-30 00:00:00,Sales Representative,2,2.9
62,Phoebe Murray,phoebe.murray@example.com,11441346129268,2016-11-11 00:00:00,Sales Representative,2,2.1
63,Holly Shaw,holly.shaw@example.com,6505091876,2016-01-27 00:00:00,Shipping Clerk,2,2.9
64,Emilia Holmes,emilia.holmes@example.com,6505092876,2016-02-20 00:00:00,Shipping Clerk,2,2.9
65,Molly Rice,molly.rice@example.com,6505093876,2016-06-24 00:00:00,Shipping Clerk,2,2.5
66,Ellie Robertson,ellie.robertson@example.com,6505094876,2016-02-07 00:00:00,Shipping Clerk,2,2.9
67,Jasmine Hunt,jasmine.hunt@example.com,6505051876,2016-06-14 00:00:00,Shipping Clerk,2,2.5
68,Eliza Black,eliza.black@example.com,6505052876,2016-08-13 00:00:00,Shipping Clerk,2,2.4
69,Lilly Daniels,lilly.daniels@example.com,6505053876,2016-07-11 00:00:00,Shipping Clerk,2,2.5
70,Abigail Palmer,abigail.palmer@example.com,6505054876,2016-12-19 00:00:00,Shipping Clerk,2,2.0
71,Georgia Mills,georgia.mills@example.com,6505011876,2016-02-04 00:00:00,Shipping Clerk,2,2.9
72,Maisie Nichols,maisie.nichols@example.com,6505012876,2016-03-03 00:00:00,Shipping Clerk,2,2.8
73,Eleanor Grant,eleanor.grant@example.com,6505013876,2016-07-01 00:00:00,Shipping Clerk,2,2.5
74,Hannah Knight,hannah.knight@example.com,6505014876,2016-03-17 00:00:00,Shipping Clerk,2,2.8
75,Harriet Ferguson,harriet.ferguson@example.com,6505079811,2016-04-24 00:00:00,Shipping Clerk,2,2.7
